selector,aurc,mrr,hits1,hits3,hits10,neural_mrr,neural_hits1,neural_hits3,neural_hits10,brier,ece,risk20,worst_flip1_20,random_flip2_20,shifted_flip_20,wide_flip_20,event_flip_20,deployed_coverage20,deployed_risk20,risk40,worst_flip1_40,random_flip2_40,shifted_flip_40,wide_flip_40,event_flip_40,deployed_coverage40,deployed_risk40,certified_coverage,seed,model,dataset
max_probability,0.496664000449958,0.5033751977002157,0.3861836896278701,0.5674980205859066,0.7379255740300871,0.454882275312292,0.3256136183689628,0.5249406175771971,0.7203087885985748,0.327116517576866,0.2820874431696812,0.415,0.249,0.070625,0.251,0.261,0.232,0.316,0.4620253164556962,0.49,0.3325,0.0973125,0.33,0.3435,0.2935,0.5532,0.5332610267534346,,0,TemporalComplEx,ICEWS05-15
candidate_probability,0.4496833325921978,0.5033751977002157,0.3861836896278701,0.5674980205859066,0.7379255740300871,0.454882275312292,0.3256136183689628,0.5249406175771971,0.7203087885985748,0.2672012971400669,0.2244855173015461,0.354,0.131,0.02475,0.131,0.141,0.107,0.32,0.400625,0.4355,0.1755,0.028625,0.1745,0.186,0.141,0.4938,0.4698258404212232,,0,TemporalComplEx,ICEWS05-15
neural_margin,0.4983260271796021,0.5033751977002157,0.3861836896278701,0.5674980205859066,0.7379255740300871,0.454882275312292,0.3256136183689628,0.5249406175771971,0.7203087885985748,,,0.414,0.25,0.072,0.251,0.263,0.231,0.3072,0.4602864583333333,0.489,0.3355,0.1015,0.3345,0.3455,0.299,0.5394,0.5302187615869485,,0,TemporalComplEx,ICEWS05-15
negative_entropy,0.4991103840170424,0.5033751977002157,0.3861836896278701,0.5674980205859066,0.7379255740300871,0.454882275312292,0.3256136183689628,0.5249406175771971,0.7203087885985748,,,0.411,0.246,0.0655,0.247,0.257,0.226,0.351,0.4735042735042735,0.491,0.3305,0.0858125,0.328,0.3405,0.2905,0.6098,0.5480485405050837,,0,TemporalComplEx,ICEWS05-15
hybrid_max,0.4406177486564107,0.5033751977002157,0.3861836896278701,0.5674980205859066,0.7379255740300871,0.454882275312292,0.3256136183689628,0.5249406175771971,0.7203087885985748,0.2506911109591553,0.1858949234458725,0.287,0.144,0.0625,0.142,0.148,0.13,0.1548,0.2739018087855297,0.4589999999999999,0.3795,0.2525,0.378,0.385,0.3535,0.3108,0.398970398970399,,0,TemporalComplEx,ICEWS05-15
hybrid_margin,0.4444585892672783,0.5033751977002157,0.3861836896278701,0.5674980205859066,0.7379255740300871,0.454882275312292,0.3256136183689628,0.5249406175771971,0.7203087885985748,,,0.304,0.177,0.098125,0.172,0.178,0.161,0.1472,0.2730978260869565,0.4505,0.358,0.2345625,0.3555,0.364,0.331,0.3058,0.3976455199476782,,0,TemporalComplEx,ICEWS05-15
Probability calibration,0.4406177486564107,0.5033751977002157,0.3861836896278701,0.5674980205859066,0.7379255740300871,0.454882275312292,0.3256136183689628,0.5249406175771971,0.7203087885985748,0.2118234485751029,0.0832220930470819,0.287,0.144,0.0625,0.142,0.148,0.13,0.1548,0.2739018087855297,0.4589999999999999,0.3795,0.2525,0.378,0.385,0.3535,0.3108,0.398970398970399,,0,TemporalComplEx,ICEWS05-15
Score calibration,0.41944188503342,0.5033751977002157,0.3861836896278701,0.5674980205859066,0.7379255740300871,0.454882275312292,0.3256136183689628,0.5249406175771971,0.7203087885985748,0.1982255188953276,0.0384071447166367,0.254,0.088,0.021625,0.085,0.091,0.075,0.1876,0.253731343283582,0.379,0.224,0.1379375,0.2245,0.229,0.209,0.3736,0.3586723768736617,,0,TemporalComplEx,ICEWS05-15
Evidence calibration,0.3877888211822127,0.5033751977002157,0.3861836896278701,0.5674980205859066,0.7379255740300871,0.454882275312292,0.3256136183689628,0.5249406175771971,0.7203087885985748,0.183316239686497,0.0313762158645002,0.2079999999999999,0.03,0.023125,0.039,0.039,0.024,0.2768,0.2716763005780347,0.353,0.169,0.0775,0.1765,0.1835,0.1475,0.4774,0.3942186845412652,,0,TemporalComplEx,ICEWS05-15
Certificate calibration,0.3840505274156929,0.5033751977002157,0.3861836896278701,0.5674980205859066,0.7379255740300871,0.454882275312292,0.3256136183689628,0.5249406175771971,0.7203087885985748,0.1812604407378062,0.024625021069815,0.2049999999999999,0.0,0.008375,0.004,0.003,0.003,0.3064,0.2865535248041775,0.347,0.0675,0.0403125,0.0805,0.0875,0.066,0.4956,0.4063761097659403,,0,TemporalComplEx,ICEWS05-15
